x,y
-23.480705,-60.35712
50.00004,-23.535105
37.360653,-50.531727
25.994608,46.242046
-56.4474,7.9748187
41.372276,-53.401947
-45.60816,-0.44794855
-75.0062,-19.50056
-36.56711,36.37011
-22.85296,-27.535782
25.703064,61.933384
-2.5858278,80.36362
-48.14639,-24.626001
21.363688,52.221222
21.11201,-68.48947
5.206636,41.572334
-71.661644,-4.2830515
-29.305809,-67.21477
14.375511,28.680918
-54.436676,-4.167165
-28.819004,-31.007479
-24.29367,73.961784
-4.3072805,79.96975
-27.184244,30.569563
-65.78122,-4.5751185
45.105534,66.84867
-44.29427,-66.20912
-55.87499,4.27814
24.82702,50.922413
8.904199,-69.82324
20.254877,13.602517
5.7215023,-74.88318
12.118814,19.634096
-60.30858,19.359112
-9.086213,-48.70711
66.094215,9.295026
-34.76985,-57.53529
10.269492,-68.52585
49.54918,-25.647675
29.347197,-65.75597
21.28912,-46.798576
-29.618351,-50.691566
-52.687668,-3.740981
33.370647,-27.702
19.709415,17.068108
-11.94687,25.537048
9.185377,-78.10829
48.702415,8.7501135
-59.650135,6.575963
-66.18128,8.275482
-31.081133,55.27511
6.254554,22.781836
-22.939531,26.955532
6.0327845,39.526043
0.7852557,81.58812
22.543535,45.291233
-61.21631,12.423782
34.742794,-52.410133
-62.366768,-30.800016
-31.963318,13.753999
-48.13366,-65.37855
5.858827,-32.868202
-56.33705,-13.631688
32.042725,8.837115
-9.272596,-51.350933
-59.24745,-14.012848
-3.515943,78.832794
-58.88444,9.93348
8.309377,11.752294
37.648136,75.21639
-29.260616,-67.58162
26.43294,65.57027
65.64846,22.983145
-9.045089,-44.767395
10.840403,-65.78562
-43.33908,-51.50047
24.00274,17.380888
-37.376835,-50.766953
-27.496176,-24.058033
-6.7818937,-54.535706
-74.48214,-24.029997
-19.351025,72.06815
65.861,6.1470428
-41.69453,-62.08524
-6.8933,-4.628809
-60.567802,7.406989
-21.171656,-50.360004
15.07293,20.099442
-12.382979,78.356766
45.2121,-51.62104
23.316729,8.1478615
-22.959946,67.163734
-23.389479,-17.6969
25.278734,9.762397
13.215279,-76.742905
-44.176456,-10.163751
7.057513,-76.98598
43.079025,-63.945065
-31.871069,68.00356
-79.022545,-7.617737
-6.053156,80.881615
26.436262,60.568726
-12.781561,23.117296
-66.91854,8.655622
-74.56688,7.8150344
-75.53163,-6.2442884
65.73552,22.084145
49.278748,-40.046745
-69.3587,-22.238268
-48.093807,0.22573
18.884521,-13.842242
27.007116,-37.362476
17.242334,12.691273
-65.83944,-16.674173
-31.74555,-44.201702
-45.354794,-19.655107
-49.140675,-3.1560621
-64.927124,12.164889
-51.408237,-23.51656
-10.467375,-47.00576
-7.1413994,29.507318
-21.212793,-0.5004846
-47.4242,-56.770367
-21.883013,68.300285
-47.63194,-42.465057
-63.755974,-12.339721
25.417171,74.93804
-29.616669,28.608522
-3.8880248,-7.6351724
-26.798513,29.446764
-20.421856,63.768066
-22.617884,53.422
-4.7733455,31.845968
-30.885273,-41.637085
6.240373,-16.458567
28.708199,-65.64342
22.68778,47.679512
49.53941,-49.374645
-7.7911177,78.28791
-27.229174,-2.2219272
-31.641182,64.81379
-45.940853,-65.536804
11.316622,15.523256
28.13921,-45.08036
-14.725384,-48.956482
7.791828,-70.731636
-5.6159787,-17.871132
74.363235,12.220504
27.660563,50.390697
39.693127,-36.299187
-76.172005,-9.853846
-62.882935,2.3172917
-31.013058,20.99038
-4.181086,25.002403
16.981909,-60.70546
-22.560131,29.528934
-12.180096,79.10121
22.150776,46.74381
21.771025,29.62365
-49.12569,-15.555387
-49.829185,-4.8466363
-20.215925,50.67154
-10.717946,28.775799
-64.63487,10.498029
-10.945814,82.4868
5.559426,36.666115
-49.308273,2.2792737
-21.983368,11.908999
13.290582,-69.12515
-55.149147,-9.166109
-58.82907,-7.6445045
-1.5575919,-52.497818
61.733788,-18.411087
12.468426,30.789808
63.80544,3.9340491
17.49848,-46.891388
21.669304,-46.91992
6.4022174,-4.0380116
25.76578,-60.120445
7.5762544,-9.483273
20.770275,-60.674843
1.2929113,2.4299824
-30.062592,31.393894
33.030285,69.696144
21.240147,-11.202122
-52.9101,-23.982729
52.57373,-14.994909
1.4785237,30.0746
39.548138,59.898113
6.679553,-75.27889
49.295578,-54.019985
7.2665935,-77.087494
47.55765,50.715744
-80.63495,-13.726275
24.383999,56.9211
5.399864,-66.660194
30.025106,-69.158104
-27.898884,54.776264
-49.190144,-2.0622911
66.832825,1.1895684
39.4928,12.220322
